,Recursive RLS Sampling,Uniform Sampling,Column Norm Sampling
2,1.7563189681974203,2.3142798637526365,1.224024839046682
3,1.7956538463999734,1.1643433809979618,1.456398636590986
4,0.7552550273692663,0.8973734680596293,0.8126644812584249
5,0.8766852992385165,0.6853282129902806,0.8274397878646743
6,0.5716639067272676,1.0551830816220693,0.8617925196682581
7,0.4627882434818639,0.5231707031403213,0.8171699722486523
8,0.7192125924401896,0.5658288413923388,0.8618716645658936
9,0.508380960033414,0.6181292482091229,0.48087450924282293
10,0.5117053817360813,0.5054072146669066,0.626220289818598
11,0.6568819482880107,0.45487490423208266,0.5447223396548829
12,0.45455948756896347,0.5012717669530312,0.7628932807047016
13,0.5009865165103902,0.4511750340758742,0.388204980683561
14,0.5530456587237181,0.41383850786724663,0.4171561364727991
15,0.3975002377515989,0.4284656981473961,0.452708161236121
16,0.37418288480620016,0.4868843810596718,0.39509655125029447
17,0.38884240600855824,0.3693434543969951,0.35984929911450814
18,0.41253292262635244,0.4614130467200755,0.35537681360836487
19,0.39907573762120524,0.33460676246979787,0.3521695828821332
20,0.37398690504511933,0.33666745916290786,0.35125724153026405
21,0.32429789415678506,0.3547848235220042,0.3213516510960141
22,0.36221991858797264,0.3344961751941497,0.317899239858024
23,0.37436456497461645,0.3867367714806255,0.3937190772398686
24,0.33008910474997893,0.3429724643941979,0.2956537622857015
25,0.286839357874427,0.3201851154918276,0.29691015971470847
26,0.34710395784323983,0.29065127048763734,0.28419126164356057
27,0.2999938600193911,0.30567336609913,0.28852670321361573
28,0.2755652001535761,0.2909448202989644,0.25226394642577027
29,0.2747658452636371,0.31803993942982134,0.2943594574606263
30,0.2788245201084268,0.29208403479863937,0.2774666156021879
31,0.26402692699774055,0.29716561144593845,0.270097878066833
32,0.26229700551115864,0.272550061717011,0.25424410516998813
33,0.27016900899266294,0.2866440607802896,0.25605513287846515
34,0.265622897597069,0.29058010421847646,0.2608556452777927
35,0.2606868291188038,0.289579633568949,0.25581519940742575
36,0.2560778090469502,0.24907358375132807,0.2504668253357383
37,0.23637486233496977,0.25364177256709103,0.24448490737549805
38,0.24332758277461736,0.2604154642901182,0.23421551919512737
39,0.21954097244396775,0.26918211966506633,0.2357026883244641
40,0.25047273653407853,0.2807542824218217,0.232365423639039
41,0.21715094383223177,0.25492702205773304,0.24725559511114767
42,0.22928338593336314,0.24680660195495216,0.21368304345360498
43,0.23048030459254007,0.24487693038086208,0.23553345418119104
44,0.23303623268953452,0.26294701009619775,0.21853654829545843
45,0.23276966935086543,0.23843839283014365,0.2209751692027104
46,0.20883108635526515,0.24031440594220854,0.22517726221379436
47,0.22228346296591284,0.23067201437277435,0.2052618240223139
48,0.23095128059525943,0.23515370041011818,0.217589536190616
49,0.19746389004453369,0.2373493847551125,0.197689436932434
50,0.22439329092859447,0.2275495336860061,0.19476286617840083
51,0.20091266195053004,0.2351959566575336,0.19388071313075267
